country,country_name,rank,isi_composite,classification,axis_1_financial,axis_2_energy,axis_3_technology,axis_4_defense,axis_5_critical_inputs,axis_6_logistics,complete,window,methodology_version,year
MT,Malta,1,0.51748148,highly_concentrated,0.13998786,0.35068126,0.20546991,1.0,0.40874987,1.0,True,2022–2024,v1.0,2024
CY,Cyprus,2,0.46821264,moderately_concentrated,0.12407171,0.34768252,0.22438354,0.74847998,0.4235975,0.94106062,True,2022–2024,v1.0,2024
IE,Ireland,3,0.42802519,moderately_concentrated,0.1466662,0.46472525,0.58695939,0.4488746,0.30719544,0.61373023,True,2022–2024,v1.0,2024
DK,Denmark,4,0.42442738,moderately_concentrated,0.12401663,0.47029821,0.14995928,0.72368274,0.43629935,0.64230809,True,2022–2024,v1.0,2024
HR,Croatia,5,0.40434768,moderately_concentrated,0.27299265,0.35125471,0.17343982,0.74648317,0.52392772,0.357988,True,2022–2024,v1.0,2024
FI,Finland,6,0.40205136,moderately_concentrated,0.11775073,0.36268783,0.19789321,0.38964518,0.54699996,0.79733123,True,2022–2024,v1.0,2024
SE,Sweden,7,0.39871532,moderately_concentrated,0.11646504,0.32721403,0.11982797,0.88107943,0.19257891,0.75512656,True,2022–2024,v1.0,2024
AT,Austria,8,0.38249806,moderately_concentrated,0.14903467,0.45581191,0.2605791,0.58506379,0.31857781,0.52592111,True,2022–2024,v1.0,2024
IT,Italy,9,0.37386086,moderately_concentrated,0.18753526,0.30781423,0.14103384,0.92057651,0.20839534,0.47781001,True,2022–2024,v1.0,2024
SI,Slovenia,10,0.36979186,moderately_concentrated,0.11917574,0.40540014,0.35739912,0.66661871,0.22301125,0.44714621,True,2022–2024,v1.0,2024
EL,Greece,11,0.3653735,moderately_concentrated,0.20078311,0.33541623,0.16272142,0.55148593,0.22200621,0.71982808,True,2022–2024,v1.0,2024
LU,Luxembourg,12,0.36016893,moderately_concentrated,0.11462818,0.35980871,0.20019721,0.64483831,0.22295831,0.61858285,True,2022–2024,v1.0,2024
EE,Estonia,13,0.34332177,moderately_concentrated,0.18172493,0.43935251,0.22713142,0.35561474,0.38622776,0.46987927,True,2022–2024,v1.0,2024
BG,Bulgaria,14,0.34027984,moderately_concentrated,0.16052965,0.35711773,0.15204272,0.86064518,0.14843767,0.36290606,True,2022–2024,v1.0,2024
NL,Netherlands,15,0.33515702,moderately_concentrated,0.12107826,0.31992851,0.12527375,0.95955396,0.13018835,0.3549193,True,2022–2024,v1.0,2024
HU,Hungary,16,0.32966227,moderately_concentrated,0.12222969,0.38580312,0.22538122,0.54471981,0.23405214,0.46578765,True,2022–2024,v1.0,2024
PT,Portugal,17,0.3217343,moderately_concentrated,0.18303606,0.34860414,0.19766062,0.43376254,0.25955617,0.50778629,True,2022–2024,v1.0,2024
RO,Romania,18,0.31864192,moderately_concentrated,0.2003334,0.40546401,0.29691153,0.56353195,0.1581428,0.28746783,True,2022–2024,v1.0,2024
CZ,Czechia,19,0.3179663,moderately_concentrated,0.16116762,0.38082003,0.18242269,0.48413737,0.16976911,0.529481,True,2022–2024,v1.0,2024
PL,Poland,20,0.29561321,moderately_concentrated,0.13314812,0.3348778,0.20845359,0.44326493,0.16532767,0.48860717,True,2022–2024,v1.0,2024
BE,Belgium,21,0.28796781,moderately_concentrated,0.15348744,0.30789144,0.29454573,0.44734854,0.1724833,0.35205038,True,2022–2024,v1.0,2024
DE,Germany,22,0.26788694,moderately_concentrated,0.10186464,0.3290879,0.09762824,0.58266751,0.22312039,0.27295297,True,2022–2024,v1.0,2024
LT,Lithuania,23,0.2654052,moderately_concentrated,0.13349636,0.33747627,0.24172279,0.40227798,0.13056067,0.34689716,True,2022–2024,v1.0,2024
ES,Spain,24,0.26093977,moderately_concentrated,0.14554195,0.30187479,0.19263249,0.38088569,0.11235234,0.43235135,True,2022–2024,v1.0,2024
LV,Latvia,25,0.24695137,mildly_concentrated,0.12316988,0.36522282,0.13309607,0.34079636,0.15120012,0.36822299,True,2022–2024,v1.0,2024
SK,Slovakia,26,0.23641567,mildly_concentrated,0.16163673,0.3999546,0.21649186,0.0,0.15490434,0.48550648,True,2022–2024,v1.0,2024
FR,France,27,0.23567126,mildly_concentrated,0.10039135,0.30911838,0.12001059,0.37034617,0.16122463,0.35293643,True,2022–2024,v1.0,2024
