country,axis_1_financial,axis_2_trade,axis_3_technology,axis_4_defense,axis_5_critical_inputs,axis_6_logistics,isi_composite,validation_status
AT,0.1490346694,0.4558119149,0.2605790959,0.5850637872,0.3185778127,0.5259211057,0.3824980643,PASS
BE,0.1534874408,0.3078914418,0.2945457337,0.4473485401,0.1724833027,0.3520503824,0.2879678069166667,PASS
BG,0.1605296502,0.3571177259,0.1520427216,0.8606451789,0.1484376708,0.3629060599,0.34027983455,PASS
CY,0.1240717079,0.3476825217,0.2243835399,0.7484799776,0.4235974969,0.9410606168,0.4682126434666667,PASS
CZ,0.1611676152,0.3808200285,0.1824226896,0.4841373706,0.1697691086,0.5294809979,0.31796630173333335,PASS
DE,0.1018646415,0.3290878955,0.0976282439,0.5826675101,0.223120392,0.27295297,0.2678869421666667,PASS
DK,0.1240166314,0.470298211,0.1499592808,0.7236827362,0.4362993461,0.6423080853,0.4244273818,PASS
EE,0.181724928,0.4393525109,0.2271314207,0.3556147435,0.3862277565,0.4698792665,0.34332177101666667,PASS
EL,0.2007831117,0.3354162308,0.1627214227,0.5514859348,0.2220062081,0.7198280758,0.3653734973166667,PASS
ES,0.1455419499,0.3018747918,0.1926324891,0.3808856857,0.1123523417,0.4323513548,0.2609397688333333,PASS
FI,0.1177507281,0.3626878271,0.1978932123,0.3896451752,0.546999963,0.7973312311,0.40205135613333337,PASS
FR,0.1003913474,0.3091183761,0.1200105876,0.3703461703,0.1612246266,0.3529364285,0.2356712560833333,PASS
HR,0.2729926531,0.3512547066,0.1734398167,0.7464831739,0.5239277176,0.357987998,0.40434767764999996,PASS
HU,0.1222296912,0.3858031229,0.2253812214,0.5447198095,0.2340521355,0.4657876514,0.32966227198333337,PASS
IE,0.1466661959,0.4647252455,0.5869593876,0.4488745964,0.3071954444,0.613730233,0.4280251838,PASS
IT,0.1875352551,0.3078142306,0.1410338408,0.9205765103,0.208395341,0.4778100103,0.3738608646833333,PASS
LT,0.1334963589,0.3374762718,0.2417227898,0.402277976,0.1305606658,0.3468971598,0.26540520368333337,PASS
LU,0.1146281832,0.3598087069,0.2001972149,0.6448383117,0.2229583054,0.6185828536,0.3601689292833334,PASS
LV,0.1231698821,0.3652228164,0.1330960709,0.340796364,0.1512001208,0.3682229889,0.24695137385,PASS
MT,0.139987864,0.3506812553,0.2054699133,1.0,0.4087498654,1.0,0.517481483,PASS
NL,0.1210782584,0.3199285078,0.1252737493,0.9595539561,0.1301883528,0.3549192976,0.33515702033333333,PASS
PL,0.1331481245,0.3348777978,0.2084535911,0.4432649256,0.1653276679,0.4886071651,0.295613212,PASS
PT,0.1830360572,0.348604136,0.1976606196,0.4337625409,0.2595561697,0.507786288,0.3217343019,PASS
RO,0.2003333967,0.405464013,0.2969115267,0.5635319511,0.1581427997,0.2874678262,0.3186419189,PASS
SE,0.1164650366,0.3272140315,0.1198279705,0.8810794273,0.1925789119,0.7551265561,0.3987153223166667,PASS
SI,0.1191757357,0.4054001414,0.3573991177,0.66661871,0.2230112489,0.4471462073,0.3697918601666667,PASS
SK,0.1616367282,0.3999545977,0.2164918554,0.0,0.1549043382,0.4855064848,0.23641566738333333,PASS
